"NCES","ODE"
"Harney County Union High School District 1J","Harney County Union High SD 1J"
"Harney County School District 4","Harney County SD 4"
"Diamond School District 7","Diamond SD 7"
"Double O School District 28","Double O SD 28"
"Drewsey School District 13","Drewsey SD 13"
"South Harney School District 33","South Harney SD 33"
"Frenchglen School District 16","Frenchglen SD 16"
"Juntura School District 12","Juntura SD 12"
"Pine Creek School District 5","Pine Creek SD 5"
"Suntex School District 10","Suntex SD 10"
"Falls City School District 57","Falls City SD 57"
"Vale School District 84","Vale SD 84"
"Gervais School District 1","Gervais SD 1"
"Yamhill-Carlton School District 1","Yamhill Carlton SD 1"
"Harrisburg School District 7J","Harrisburg SD 7J"
"North Santiam School District 29J","North Santiam SD 29J"
"South Wasco County School District 1","South Wasco County SD 1"
"Hillsboro School District 1J","Hillsboro SD 1J"
"Knappa School District 4","Knappa SD 4"
"Ione School District 2","Ione SD R2"
"North Wasco School District 21","North Wasco County SD 21"
"Myrtle Point School District 41","Myrtle Point SD 41"
"Adel School District 21","Adel SD 21"
"Adrian School District 61","Adrian SD 61"
"Greater Albany School District 8J","Greater Albany Public SD 8J"
"Alsea School District 7J","Alsea SD 7J"
"Amity School District 4J","Amity SD 4J"
"Annex School District 29","Annex SD 29"
"Arlington School District 3","Arlington SD 3"
"Arock School District 81","Arock SD 81"
"Ashland School District 5","Ashland SD 5"
"Ashwood School District 8","Ashwood SD 8"
"Astoria School District 1","Astoria SD 1"
"Athena-Weston School District 29J","Athena-Weston SD 29RJ"
"Baker School District 5J","Baker SD 5J"
"Burnt River School District 30J","Burnt River SD 30J"
"Bandon School District 54","Bandon SD 54"
"Banks School District 13","Banks SD 13"
"Beaverton School District 48J","Beaverton SD 48J"
"Bend-La Pine Administrative School District 1","Bend-LaPine Administrative SD 1"
"Bethel School District 52","Bethel SD 52"
"Blachly School District 090","Blachly SD 90"
"Black Butte School District 41","Black Butte SD 41"
"Brookings-Harbor School District 17","Brookings-Harbor SD 17C"
"Harney County School District 3","Harney County SD 3"
"Butte Falls School District 91","Butte Falls SD 91"
"Camas Valley School District 21J","Camas Valley SD 21J"
"Canby School District 86","Canby SD 86"
"Cascade School District 5","Cascade SD 5"
"Centennial School District 28J","Centennial SD 28J"
"Central School District 13J","Central SD 13J"
"Central Linn School District 552","Central Linn SD 552"
"Central Point School District 6","Central Point SD 6"
"Clatskanie School District 6J","Clatskanie SD 6J"
"Rainier School District 13","Rainier SD 13"
"Colton School District 53","Colton SD 53"
"Condon School District 25J","Condon SD 25J"
"Coquille School District 8","Coquille SD 8"
"Corbett School District 39","Corbett SD 39"
"Corvallis School District 509J","Corvallis SD 509J"
"Cove School District 15","Cove SD 15"
"Coos Bay School District 9","Coos Bay SD 9"
"Creswell School District 40","Creswell SD 40"
"Crook County School District","Crook County SD"
"Crow-Applegate-Lorane Sd 66","Crow-Applegate-Lorane SD 66"
"Culver School District 4","Culver SD 4"
"Dallas School District 2","Dallas SD 2"
"David Douglas School District 40","David Douglas SD 40"
"Days Creek School District 15","Douglas County SD 15"
"Dayton School District 8","Dayton SD 8"
"Dayville School District 16J","Dayville SD 16J"
"North Douglas School District 22","North Douglas SD 22"
"Dufur School District 29","Dufur SD 29"
"Eagle Point School District 9","Eagle Point SD 9"
"Echo School District 5","Echo SD 5"
"Elgin School District 23","Elgin SD 23"
"Elkton School District 34","Elkton SD 34"
"Estacada School District 108","Estacada SD 108"
"Eugene School District 4J","Eugene SD 4J"
"Fern Ridge School District 28J","Fern Ridge SD 28J"
"Enterprise School District 21","Enterprise SD 21"
"Siuslaw School District 97J","Siuslaw SD 97J"
"Forest Grove School District 15","Forest Grove SD 15"
"Fossil School District 21J","Fossil SD 21J"
"Gaston School District 511J","Gaston SD 511J"
"Gladstone School District 115","Gladstone SD 115"
"Glendale School District 77","Glendale SD 77"
"Glide School District 12","Glide SD 12"
"Central Curry School District 1","Central Curry SD 1"
"Grants Pass School District 7","Grants Pass SD 7"
"Gresham-Barlow School District 1J","Gresham-Barlow SD 10J"
"Harper School District 66","Harper SD 66"
"Helix School District 1","Helix SD 1"
"Hermiston School District 8","Hermiston SD 8"
"Hood River County School District 1","Hood River County SD"
"Huntington School District 16J","Huntington SD 16J"
"Imbler School District 11","Imbler SD 11"
"Jefferson School District 14J","Jefferson SD 14J"
"Jefferson County School District 509J","Jefferson County SD 509J"
"Jewell School District 8","Jewell SD 8"
"John Day School District 3","John Day SD 3"
"Jordan Valley School District 3","Jordan Valley SD 3"
"Joseph School District 6","Joseph SD 6"
"Three Rivers School District","Three Rivers/Josephine County SD"
"Junction City School District 69","Junction City SD 69"
"Klamath County School District","Klamath County SD"
"Klamath Falls City Schools","Klamath Falls City Schools"
"La Grande School District 1","La Grande SD 1"
"Lake Oswego School District 7J","Lake Oswego SD 7J"
"Lakeview School District 7","Lake County SD 7"
"Lebanon Community School District 9","Lebanon Community SD 9"
"Lincoln County School District","Lincoln County SD"
"Long Creek School District 17","Long Creek SD 17"
"Lowell School District 71","Lowell SD 71"
"Mapleton School District 32","Mapleton SD 32"
"Marcola School District 79J","Marcola SD 79J"
"McDermitt School District 51","Malheur County SD 51"
"McKenzie School District 68","McKenzie SD 68"
"McMinnville School District 40","McMinnville SD 40"
"Medford School District 549","Medford SD 549C"
"Santiam Canyon School District 129J","Santiam Canyon SD 129J"
"Milton-Freewater School District 7","Milton-Freewater Unified SD 7"
"Mitchell School District 55","Mitchell SD 55"
"Molalla River School District 35","Molalla River SD 35"
"Monroe School District 1J","Monroe SD 1J"
"Monument School District 8","Monument SD 8"
"Morrow School District 1","Morrow SD 1"
"Mount Angel School District 91","Mt Angel SD 91"
"Neah-Kah-Nie School District 56","Neah-Kah-Nie SD 56"
"Nestucca Valley School District 101J","Nestucca Valley SD 101J"
"Newberg School District 29J","Newberg SD 29J"
"North Bend School District 13","North Bend SD 13"
"North Clackamas School District 12","North Clackamas SD 12"
"North Marion School District 15","North Marion SD 15"
"North Powder School District 8J","North Powder SD 8J"
"Nyssa School District 26","Nyssa SD 26"
"Oakland School District 1","Oakland SD 1"
"Oakridge School District 76","Oakridge SD 76"
"Ontario School District 8","Ontario SD 8C"
"Oregon City School District 62","Oregon City SD 62"
"Paisley School District 11","Paisley SD 11"
"Parkrose School District 3","Parkrose SD 3"
"Pendleton School District 16","Pendleton SD 16"
"Perrydale School District 21","Perrydale SD 21"
"Philomath School District 17J","Philomath SD 17J"
"Phoenix-Talent School District 4","Phoenix-Talent SD 4"
"Pilot Rock School District 2","Pilot Rock SD 2"
"Pine-Eagle School District 61","Pine Eagle SD 61"
"Pinehurst School District 94","Pinehurst SD 94"
"Pleasant Hill School District 1","Pleasant Hill SD 1"
"Plush School District 18","Plush SD 18"
"Port Orford-Langlois School District 2J","Port Orford-Langlois SD 2CJ"
"Portland School District 1J","Portland SD 1J"
"Powers School District 31","Powers SD 31"
"Prairie City School District 4","Prairie City SD 4"
"Prospect School District 59","Prospect SD 59"
"Redmond School District 2J","Redmond SD 2J"
"Reedsport School District 105","Reedsport SD 105"
"Reynolds School District 7","Reynolds SD 7"
"Riddle School District 70","Riddle SD 70"
"Riverdale School District 51J","Riverdale SD 51J"
"Rogue River School District 35","Rogue River SD 35"
"Roseburg School District 4","Douglas County SD 4"
"Salem-Keizer School District 24J","Salem-Keizer SD 24J"
"Oregon Trail School District 46","Oregon Trail SD 46"
"Scappoose School District 1J","Scappoose SD 1J"
"Scio School District 95","Scio SD 95"
"Seaside School District 10","Seaside SD 10"
"Sheridan School District 48J","Sheridan SD 48J"
"Sherman School District 1","Sherman County SD"
"Sherwood School District 88J","Sherwood SD 88J"
"North Lake School District 14","North Lake SD 14"
"Silver Falls School District 4J","Silver Falls SD 4J"
"Sisters School District 6","Sisters SD 6"
"South Lane School District 45J","South Lane SD 45J3"
"South Umpqua School District 19","South Umpqua SD 19"
"Spray School District 1","Spray SD 1"
"Springfield School District 19","Springfield SD 19"
"St. Helens School District 502","St Helens SD 502"
"St. Paul School District 45","St Paul SD 45"
"Stanfield School District 61","Stanfield SD 61"
"Sutherlin School District 130","Sutherlin SD 130"
"Sweet Home School District 55","Sweet Home SD 55"
"Tigard-Tualatin School District 23J","Tigard-Tualatin SD 23J"
"Tillamook School District 9","Tillamook SD 9"
"Troy School District 54","Troy SD 54"
"Ukiah School District 80","Ukiah SD 80R"
"Umatilla School District 6","Umatilla SD 6R"
"Union School District 5","Union SD 5"
"Vernonia School District 47J","Vernonia SD 47J"
"Wallowa School District 12","Wallowa SD 12"
"Warrenton-Hammond School District 30","Warrenton-Hammond SD 30"
"West Linn School District 3J","West Linn-Wilsonville SD 3J"
"Willamina School District 30J","Willamina SD 30J"
"Winston-Dillard School District 116","Winston-Dillard SD 116"
"Woodburn School District 103","Woodburn SD 103"
"Yoncalla School District 32","Yoncalla SD 32"
